Locus_Index,Panmixia_TI,Panmixia_BTI,Panmixia_HS,Full_TI,Full_BTI,Full_HS,DGF3_TI,DGF3_BTI,DGF3_HS
103,-435.7,-431.22,-425.37,-440.11,-435.87,-428.84,-440.61,-436.23,-428.02
104,-468.1,-462.55,-451.93,-469.74,-464.16,-454.09,-469.5,-463.6,-455
105,-1834.34,-1136.11,-736.53,-2237.8,-1252.99,-771.93,-2240.11,-1255.68,-797.87
106,-567.16,-559.72,-536.28,-569.23,-562.39,-536.97,-566.88,-559.67,-535.04
107,-419.5,-415.37,-413.56,-425.28,-420.99,-418.17,-423.16,-418.93,-416.25
108,-2241.7,-1297.39,-830.55,-2753.13,-1411.97,-881.28,-2747.49,-1412.35,-884.87
109,-546.33,-529.13,-476.07,-549.26,-533.43,-479.83,-547.87,-531.93,-478.58
110,-509.53,-504.5,-503.46,-512.77,-507.56,-507.4,-510.56,-505.32,-505.84
111,-420.98,-415.98,-400.98,-424.48,-419.74,-403.64,-421.67,-416.65,-401.92
112,-508.17,-500.35,-465.61,-510.55,-503.98,-467.28,-510,-503.48,-465.94
113,-461.24,-454.29,-433.07,-462.9,-455.88,-434.86,-461.91,-454.94,-434.05
114,-1668.47,-1037.53,-650.4,-2024.29,-1124.76,-665.88,-2037.43,-1142.36,-697.87
115,-441.04,-436.53,-433.78,-445.61,-441.01,-437.15,-442.98,-438.42,-434.65
116,-1603.4,-1029.32,-662.97,-1921.9,-1097.04,-674.05,-1929.46,-1106.74,-675.64
117,-475.34,-467.8,-436.27,-479.16,-472.39,-438.64,-478.08,-471.15,-437.7
118,-1566.49,-1028.53,-645.3,-1875.46,-1098.56,-674.32,-1880.36,-1106.3,-677.79
119,-579.7,-551.64,-480.82,-580.44,-555.77,-484.53,-576.41,-550.9,-482.78
120,-418.12,-413.97,-412.4,-421.91,-417.65,-416.34,-419.76,-415.53,-414.59
121,-549.83,-540.35,-500.93,-551.89,-543.81,-502.72,-550.05,-541.58,-502
122,-439.96,-435.24,-426.5,-444.79,-440.24,-430.11,-443.15,-438.35,-428.86
123,-422.53,-418.33,-416.67,-425.19,-420.87,-420.14,-422.46,-418.1,-417.86
124,-503.45,-491.81,-446.71,-508.26,-498.82,-449.34,-506.64,-497.06,-448.15
125,-476.32,-468.09,-457.39,-483.94,-478.19,-460.06,-481.95,-475.72,-460.27
126,-2481.66,-1201.85,-668.67,-3139.43,-1338.14,-701.56,-3142.34,-1342.65,-711.51
127,-459.73,-452.12,-435.06,-465.03,-458.94,-437.71,-462.87,-456.51,-436.34
128,-563.47,-556.84,-538.47,-565.42,-558.95,-540.98,-562.27,-555.45,-539
129,-510.96,-501.38,-458.18,-515.97,-508.55,-460.99,-516.38,-508.5,-461.04
130,-497.55,-490.68,-472.93,-501.18,-494.97,-474.17,-498.01,-491.62,-473.09
131,-453.27,-445.07,-422.46,-454.85,-447.58,-424.95,-452.38,-444.93,-423.09
132,-1732.93,-1061.23,-670.77,-2090.43,-1130.04,-679.57,-2096.19,-1138.93,-690.18
133,-564.82,-558.68,-554.04,-567.61,-561.41,-556.69,-565.68,-559.38,-555.82
