"","parameter","2.5%","25%","50%","75%","97.5%","mode","mean","sd"
"1","theta Japan",0.000842336568394067,0.000885063785631447,0.000921687114692059,0.000964414331929439,0.00101934932552036,0.000921687114692059,0.000925292688030754,5.11356674427893e-05
"2","theta Johnston Atoll",0.000933894891045596,0.000958310443752671,0.000970518220106208,0.000988829884636514,0.00101934932552036,0.000970518220106208,0.000972935915379651,2.26915644517528e-05
"3","theta MHI",0.000964414331929439,0.00112921931270219,0.00120856985900018,0.00123908929988403,0.00126960874076787,0.00123298541170726,0.00117634189365887,8.6378480457853e-05
"4","theta NWHI",0.00145272538607093,0.00151376426783861,0.00155038759689923,0.00159311481413661,0.00164804980772752,0.00153817982054569,0.00154981222952927,5.47984739964459e-05
