"","parameter","2.5%","25%","50%","75%","97.5%","mode","mean","sd"
"1","m/mu MHI to Japan",403.59804991188,426.486408129945,438.693532512913,450.900656895881,476.077850935752,437.930587238977,438.979403534101,18.6548887000378
"2","m/mu NWHI to Japan",408.175721555493,430.301134499622,442.50825888259,454.715383265558,478.366686757559,441.745313608655,442.529285054227,18.1031336363619
"3","m/mu Japan to MHI",393.679761350718,415.805174294848,428.012298677816,440.219423060784,463.870726552784,427.24935340388,428.11125122796,18.0348760948387
"4","m/mu NWHI to MHI",381.47263696775,402.072159364009,413.516338473041,424.960517582074,447.848875800139,412.753393199106,413.647492710269,17.1368010346608
"5","m/mu Japan to NWHI",237.275980193941,250.246049850844,257.112557316264,264.742010055619,278.475024986458,257.112557316264,257.588590527759,10.628790216984
"6","m/mu MHI to NWHI",232.698308550328,245.668378207231,252.534885672651,259.40139313807,273.897353342845,252.534885672651,252.851904885821,10.4657329212087
