"","parameter","2.5%","25%","50%","75%","97.5%","mode","mean","sd"
"1","4Nem MHI to Japan",1.40999816883355,1.48934871513154,1.53207593236892,1.5748031496063,1.66025758408106,1.52597204419215,1.53294903253114,0.0652826594638457
"2","4Nem NWHI to Japan",1.44662149789416,1.52597204419215,1.56869926142953,1.61142647866691,1.69688091314167,1.56259537325276,1.568071970444,0.0662200570673227
"3","4Nem Japan to MHI",1.36727095159617,1.44051760971739,1.48324482695477,1.52597204419215,1.60532259049014,1.477140938778,1.48357117832059,0.0629119068991943
"4","4Nem NWHI to MHI",1.33675151071232,1.40999816883355,1.44662149789416,1.48934871513154,1.5748031496063,1.44662149789416,1.45055017037789,0.0610387234589246
"5","4Nem Japan to NWHI",1.40389428065678,1.477140938778,1.51986815601538,1.56259537325276,1.64194591955075,1.51986815601538,1.51987688439451,0.0624196597610375
"6","4Nem MHI to NWHI",1.37337483977294,1.44662149789416,1.48934871513154,1.53207593236892,1.61142647866691,1.48934871513154,1.49088841400917,0.0621726046117712
