"","parameter","2.5%","25%","50%","75%","97.5%","mode","mean","sd"
"1","theta Japan",0.00455350057986938,0.00461453946163706,0.00464505890252091,0.00466947445522798,0.0047244094488189,0.00464505890252091,0.00464175523966377,4.37264953795454e-05
"2","theta MHI",0.00444973448086431,0.00454739669169261,0.00459012390892999,0.00463285112616737,0.00469389000793506,0.00460233168528353,0.0045858631291613,6.43712000397353e-05
"3","theta NWHI",0.00703167917963743,0.00707440639687481,0.00709271806140512,0.00711713361411219,0.0071537569431728,0.00709882194958188,0.00709444864040893,3.21407109942377e-05
